               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,             0.02753,            0.026363,           0.0044234,             0.72469,             0.70027,             0.75119,             0.46463,            0.027936,            0.028284,           0.0092677,            0.006436,            0.006436,            0.006436
                  38,            0.028232,            0.025742,           0.0039608,             0.69777,             0.72932,              0.7491,              0.4461,            0.028504,            0.027826,           0.0089333,            0.006337,            0.006337,            0.006337
                  39,            0.028062,            0.027051,           0.0040244,             0.74651,             0.69833,             0.75196,             0.46765,            0.027764,            0.028471,           0.0092808,            0.006238,            0.006238,            0.006238
                  40,            0.027307,            0.025839,           0.0037037,              0.7487,             0.70185,             0.75648,             0.47246,            0.027647,             0.02798,           0.0095336,            0.006139,            0.006139,            0.006139
                  41,            0.028115,            0.027361,            0.003961,             0.75753,             0.71207,             0.74053,             0.46637,             0.02852,             0.02808,            0.008856,             0.00604,             0.00604,             0.00604
                  42,            0.027394,            0.024352,           0.0035653,             0.73218,             0.75247,             0.76963,             0.47211,             0.02953,            0.028894,           0.0093264,            0.005941,            0.005941,            0.005941
                  43,            0.027491,            0.026489,           0.0033525,             0.80996,             0.74544,             0.78932,             0.48332,            0.028279,            0.028409,           0.0085566,            0.005842,            0.005842,            0.005842
                  44,            0.026574,            0.024688,           0.0035477,             0.75552,             0.72918,             0.77886,             0.47602,            0.028563,            0.028188,           0.0081365,            0.005743,            0.005743,            0.005743
                  45,            0.027061,            0.025609,           0.0035638,              0.8305,             0.70937,             0.77842,             0.47906,            0.027083,            0.027941,            0.008438,            0.005644,            0.005644,            0.005644
                  46,            0.026437,            0.025156,           0.0033145,             0.83467,             0.75501,             0.80406,             0.49966,            0.027407,            0.028681,           0.0076913,            0.005545,            0.005545,            0.005545
                  47,            0.025812,            0.025316,           0.0032366,             0.83185,             0.77299,              0.8076,               0.506,            0.027162,            0.028094,           0.0082764,            0.005446,            0.005446,            0.005446
                  48,            0.025466,            0.025371,           0.0028819,             0.84314,             0.73197,             0.78687,             0.49977,            0.026523,            0.027819,           0.0075571,            0.005347,            0.005347,            0.005347
                  49,             0.02572,            0.025363,            0.002996,             0.86384,             0.72533,             0.80383,             0.48744,             0.02722,            0.028039,           0.0073107,            0.005248,            0.005248,            0.005248
                  50,            0.025635,            0.024784,           0.0028897,             0.84972,             0.69061,             0.77905,             0.47253,            0.028161,            0.028028,           0.0074795,            0.005149,            0.005149,            0.005149
                  51,            0.025582,            0.024223,           0.0027156,             0.84768,             0.73062,             0.79834,              0.4948,            0.027385,            0.028499,           0.0064225,             0.00505,             0.00505,             0.00505
                  52,            0.024973,            0.025001,            0.002688,             0.87749,             0.70779,             0.78862,             0.48362,            0.027672,            0.028971,           0.0066815,            0.004951,            0.004951,            0.004951
                  53,            0.024275,            0.023999,           0.0024818,             0.81597,             0.71766,             0.79031,             0.49194,            0.027417,            0.029654,           0.0054661,            0.004852,            0.004852,            0.004852
                  54,            0.024955,            0.023471,           0.0023543,             0.83962,             0.75287,              0.7932,             0.47898,            0.027928,            0.028739,           0.0062534,            0.004753,            0.004753,            0.004753
                  55,            0.024462,            0.024071,           0.0025562,             0.88278,             0.74612,             0.81832,             0.51013,            0.026522,            0.028131,           0.0054414,            0.004654,            0.004654,            0.004654
                  56,            0.024853,            0.025047,           0.0022477,             0.84748,             0.77347,              0.8292,             0.50744,            0.026648,            0.028835,           0.0049248,            0.004555,            0.004555,            0.004555
                  57,            0.024444,            0.024036,           0.0022565,             0.85537,             0.75539,             0.80956,             0.49649,            0.026727,            0.028999,           0.0059839,            0.004456,            0.004456,            0.004456
                  58,            0.024699,            0.024143,           0.0022192,             0.89924,             0.76171,             0.83514,             0.52092,            0.027586,            0.029007,           0.0053005,            0.004357,            0.004357,            0.004357
                  59,            0.024108,            0.024177,           0.0019495,             0.84431,             0.76873,             0.81804,             0.50721,            0.026739,            0.029312,           0.0050066,            0.004258,            0.004258,            0.004258
                  60,             0.02355,            0.023496,           0.0021451,             0.81141,             0.77274,             0.80987,              0.5055,              0.0271,            0.029086,           0.0056478,            0.004159,            0.004159,            0.004159
                  61,            0.024016,            0.023973,           0.0018788,             0.79439,             0.76568,             0.79078,             0.48828,            0.026752,            0.028948,           0.0084574,             0.00406,             0.00406,             0.00406
                  62,            0.023877,            0.024834,            0.001823,             0.84328,              0.7273,             0.78843,             0.49059,            0.026401,            0.029062,           0.0069846,            0.003961,            0.003961,            0.003961
                  63,            0.023213,            0.023264,           0.0019676,             0.84647,             0.76455,             0.79159,             0.48483,            0.027101,            0.028903,           0.0068599,            0.003862,            0.003862,            0.003862
                  64,             0.02353,            0.024525,           0.0016153,             0.87961,             0.72175,             0.79407,             0.49439,            0.027147,            0.029769,            0.010389,            0.003763,            0.003763,            0.003763
                  65,            0.023087,            0.022754,           0.0016187,             0.85669,             0.78073,             0.80818,             0.49839,              0.0271,            0.028983,           0.0086161,            0.003664,            0.003664,            0.003664
                  66,            0.023583,            0.024356,           0.0019361,             0.88705,              0.7735,             0.82229,             0.51894,            0.027056,            0.029241,           0.0070791,            0.003565,            0.003565,            0.003565
                  67,            0.023072,             0.02434,           0.0018498,             0.85583,             0.78008,             0.81753,             0.51201,             0.02718,            0.028793,           0.0059739,            0.003466,            0.003466,            0.003466
                  68,            0.022283,            0.022502,           0.0017393,             0.88003,             0.74018,              0.8224,               0.517,            0.026015,            0.029143,           0.0056113,            0.003367,            0.003367,            0.003367
                  69,            0.022005,             0.02279,           0.0015502,              0.8612,             0.75384,              0.7971,             0.50608,            0.025564,            0.029132,           0.0077307,            0.003268,            0.003268,            0.003268
                  70,            0.022431,            0.023369,           0.0014353,             0.89675,             0.74242,             0.81459,             0.49639,            0.026943,            0.030097,           0.0066166,            0.003169,            0.003169,            0.003169
                  71,             0.02226,            0.023785,           0.0014943,             0.83803,             0.74673,             0.79499,             0.50253,            0.026096,            0.029171,           0.0091096,             0.00307,             0.00307,             0.00307
                  72,            0.021989,            0.022622,           0.0014312,             0.85356,             0.75291,             0.79482,             0.49287,            0.026744,            0.029658,           0.0099818,            0.002971,            0.002971,            0.002971
                  73,             0.02149,            0.022463,           0.0013218,             0.86314,             0.75138,             0.80563,              0.5053,            0.026284,              0.0297,           0.0079298,            0.002872,            0.002872,            0.002872
                  74,            0.021332,            0.022233,           0.0014351,             0.88112,             0.73709,             0.81455,              0.5039,            0.026712,            0.029693,            0.011298,            0.002773,            0.002773,            0.002773
                  75,            0.021442,            0.022554,           0.0014398,              0.8808,             0.74398,             0.81837,             0.50764,            0.026799,            0.029389,           0.0060854,            0.002674,            0.002674,            0.002674
                  76,            0.021877,            0.021742,            0.001308,             0.88447,             0.74635,             0.80542,             0.51133,            0.026272,            0.029339,           0.0060112,            0.002575,            0.002575,            0.002575
                  77,            0.020876,            0.023084,           0.0013055,             0.82524,              0.7773,             0.79814,             0.50586,             0.02668,            0.030427,           0.0086683,            0.002476,            0.002476,            0.002476
                  78,            0.021039,            0.023121,           0.0012501,             0.89071,             0.74147,              0.8013,             0.49908,            0.026617,            0.029912,            0.006194,            0.002377,            0.002377,            0.002377
                  79,            0.021098,            0.022463,           0.0013065,             0.91522,             0.74588,             0.82003,             0.50571,            0.026477,             0.02912,           0.0047096,            0.002278,            0.002278,            0.002278
                  80,            0.020768,            0.021199,           0.0012216,             0.88247,             0.73116,             0.80771,             0.49512,            0.026635,            0.029346,           0.0056777,            0.002179,            0.002179,            0.002179
                  81,            0.020678,            0.022232,           0.0011494,             0.84306,             0.75091,             0.79505,             0.48817,            0.026803,             0.02991,           0.0058954,             0.00208,             0.00208,             0.00208
